movie;lead_studio;story;genre;rotten_tomatoes;audience_score;theaters_open_week;bo_average_open_week;domestic_gross;foreign_gross;world_gross;budget;profitability;opening_weekend
Insidious;Sony;Monster Force;Horror;67;65;2408;5511;54,01;43,00;97,009000;1,5;64,672666670;13,27
Paranormal Activity 3;Independent;Monster Force;Horror;68;58;3321;15829;103,66;98,24;201,897000;5,0;40,379400000;52,57
Bad Teacher;Independent;Comedy;Comedy;44;38;3049;10365;100,29;115,90;216,196000;20,0;10,809800000;31,60
Harry Potter and the Deathly Hallows Part 2;Warner Bros;Rivalry;Fantasy;96;92;4375;38672;381,01;947,10;1328,111000;125,0;10,624888000;169,19
Bridesmaids;Relativity Media;Rivalry;Comedy;90;77;2918;8995;169,11;119,28;288,382000;32,5;8,873292308;26,25
Midnight in Paris;Sony;Love;Romance;93;84;944;6177;56,18;83,00;139,177000;17,0;8,186882353;5,83
The Help;DreamWorks Pictures;Maturation;Drama;75;91;2534;10278;169,22;30,10;199,324000;25,0;7,972960000;26,04
The Hangover Part II;Legendary Pictures;Comedy;Comedy;35;58;3615;23775;254,46;327,00;581,464000;80,0;7,268300000;85,95
Another Earth;Independent;Temptation;Fantasy;63;74;NA;NA;1,32;NA;1,321000;0,2;6,605000000;0,08
Limitless;Virgin;Wretched Excess;Thriller;69;73;2756;6860;79,25;82,60;161,849000;27,0;5,994407407;18,91
Horrible Bosses;Warner Bros;Revenge;Comedy;69;72;3040;9310;117,54;92,10;209,638000;35,0;5,989657143;28,30
No Strings Attached;Spyglass Entertainment;Comedy;Comedy;49;57;3018;6512;70,60;77,10;147,700000;25,0;5,908000000;19,70
Twilight: Breaking Dawn;Independent;Love;Romance;26;68;4061;34012;260,80;374,00;634,800000;110,0;5,770909091;138,12
Transformers: Dark of the Moon;DreamWorks Pictures;Quest;Action;35;67;4088;23937;352,39;770,81;1123,195000;195,0;5,759974359;97,85
Gnomeo and Juliet;Disney;Love;Animation;56;52;2994;8469;99,97;94,00;193,967000;36,0;5,387972222;25,36
Rio;20th Century Fox;Quest;Animation;71;73;3826;10252;143,62;341,02;484,634000;90,0;5,384822222;39,23
Super 8 ;Paramount;Monster Force;Horror;82;78;3379;10492;127,00;132,71;259,713000;50,0;5,194260000;35,45
Rise of the Planet of the Apes;20th Century Fox;Revenge;Action;83;87;3648;15024;176,70;304,52;481,226000;93,0;5,174473118;54,81
